,Group,Label,Answer,Emerged,Manual
41,A_6,Yes,I realised that changing the colour of the perimeter lights weren't working because no lights on the hats were in sync When we started walking in a circle the lights on the hats started syncing so I thought by looking at another person would sync the hats When all of us were walking in a circle all the hats synced  so I realised this strategy worked,1,0
42,A_6,Yes,To find the link between when hats linked up got me to join the circle myself Also followed other peoples ideas to walk in a circle,1,0
43,A_7,Yes,"Yes, when I matched footsteps with someone next to me Walking in a smaller group of people",0,1
44,A_7,No,No I didn't figure it out,0,1
45,A_7,No,"No, walking together did not work but I don't understand what aspect of our motion caused the game to end",0,1
46,A_7,No,Not really no,0,1
47,A_7,No,No,0,1
48,A_7,Yes,Vaguely and it felt team work was much effective in rocking back and forth as a group,0,1
49,A_7,Yes,"Yes, most of the time",0,1
50,A_7,Neutral,No There is no positive or negative feedback  At one point I thought it might be working when we were nodding close to each other in a synchronised way but we couldn't be sure Most of the time we were just moving randomly,0,1
51,A_7,Yes,At some point yes I think it is a motion driven system,0,1
52,A_8,No,"No, hardly",0,0
53,A_8,No,"Not necessarily, it was a trial and error approach",0,0
54,A_8,No,I tried to monitor patterns with the lights but it was very hard to discern what made them synchronise,0,0
55,A_8,Yes,"Smaller steps, spaced apart, group clusters",0,0
56,A_8,Neutral,"A bit, I think it worked when we separated a little bit",0,0
57,A_8,No,No because I didn't know which  strategy actually caused the hat to turn into rainbow,0,0
58,A_9,Yes,I see when people close to each other lights flash at the same time,0,0
59,A_9,Neutral,No but harmony and circle worked,0,0
60,A_9,No,No,0,0
61,A_9,Neutral,Yes - none,0,0
62,A_9,Neutral,Circle seemed effective at first but then theorised that flashing is random and that I may as well do my own thing/try as many patterns as possible,0,0
63,A_9,Yes,Circle seemed to work the best Being closer to people Following and matching pace,0,0
64,A_9,No,Tried but not sure,0,0
65,A_9,No,No,0,0
66,A_9,No,No,0,0
67,A_9,No,Not really,0,0
68,A_9,Yes,It seemed  to work best when we walked in a circle,0,0
69,B_1,Yes,Getting closer together as a group,1,0
70,B_1,No, No,1,0
71,B_1,Yes,"Yes, initially everyone walking in a circle and lights were in sync",1,0
72,B_1,No,No,1,0
73,B_2,No,No,0,0
74,B_2,No,No,0,0
75,B_2,Yes,Following one small duo led to everyone joining without communicating,0,0
76,B_2,Yes,Possibly,0,0
77,B_2,Yes,"Yes, trying to time our footsteps",0,0
78,B_2,Neutral,Animals,0,0
79,B_3,Yes,Walking in a constricting circle,1,0
80,B_3,Yes,Synchronising movements,1,0
81,B_3,Yes,"Yes, just had to get them to do the same",1,0
82,B_3,Yes,Following seemed to help others so I copied,1,0
83,B_3,Yes,"Copying, persisting, walking closer",1,0
84,B_3,No,"No, I experiment at lot of things",1,0
85,B_4,No,Not really,0,0
86,B_4,Yes,Following a person very closely in pace and movement and hope others follow too,0,0
87,B_4,Yes,Working in a sync circle equality spaced and a similar pace,0,0
88,B_4,Yes,"Yes, walking in a circle about 2 m apart",0,0
89,B_4,Yes,Walking in circle while facing each other,0,0
90,B_4,Yes,Walking in circle of particular speed and size,0,0
91,B_5,Neutral,As nos 4 and 2,0,0
92,B_5,Yes,Appeared to be stepping at the same time,0,0
93,B_5,No,No,0,0
94,B_5,No,No,0,0
95,B_5,Yes,Yes,0,0
96,B_5,Neutral,Yes and no,0,0
97,B_5,No,No,0,0
98,B_7,Yes,When everyone was working together in unison we were going to the right direction,1,0
99,B_7,No,No,1,0
100,B_7,Yes,Not until starting to walk in a line behind others,1,0
101,B_7,Yes,Yes,1,0
102,B_7,Neutral,Not to start But the lights helped,1,0
103,B_7,Yes,Yes – going closer and doing the same as each other – going in a circle,1,0
104,B_7,No,Not really,1,0
105,B_8,Yes,Sometimes the lights were in sync until someone broke the chain,0,0
106,B_8,Neutral,partly – circling seemed to,0,0
107,B_8,No,No,0,0
108,B_8,Yes,"The standing still and looking at pairs, that worked well, but there were people who seemed to just walk randomly and break the chain",0,0
109,B_8,Yes,Number of steps Same motion and direction,0,0
110,B_8,No,No,0,0
111,B_8,No,None,0,0
112,B_9,Yes,"People follow it 2 or more are doing the same thing",1,0
113,B_9,No,Not sure,1,0
114,B_9,No,Walking in circles Or not really,1,0
115,B_9,No,"Hard to see lights synchronise, especially if you can't see yours Once in a pattern easier to see",1,0
116,B_9,Yes,Leading by example,1,0
117,B_9,Yes,Walking along the same path seemed to work I was trying to figure out how they would have designed the game and how the tech worked,1,0
118,B_9,No,No Was happy to follow the group to see if it worked,1,0
119,B_9,No,Tight circle but otherwise not really,1,0
120,B_9,Yes,I think imitation and trying to listen to nonverbal guesses/ body language from other people was helpful,1,0
